word,freq
"('me', 'about')",5
,
"('about', 'how')",12
,
"('how', 'the')",9
,
"('the', 'sweetness')",11
,
"('sweetness', 'could')",1
,
"('could', 'be')",13
,
"('be', 'adjusted')",1
,
"('adjusted', '')",1
,
"('', 'I')",2231
,
"('I', 'ended')",10
,
"('ended', 'up')",20
,
"('up', 'ordering')",2
,
"('ordering', 'a')",5
,
"('a', 'quarter')",3
,
"('quarter', 'mocha')",1
,
"('mocha', 'moon')",3
,
"('moon', 'latte')",21
,
"('latte', '')",138
,
"('', 'which')",177
,
"('which', 'was')",50
,
"('was', 'the')",62
,
"('the', 'perfect')",63
,
"('perfect', 'amount')",7
,
"('amount', 'of')",46
,
"('of', 'sweetness')",13
,
"('sweetness', 'and')",5
,
"('and', 'tasted')",2
,
"('tasted', 'so')",2
,
"('so', 'good')",32
,
"('good', 'that')",4
,
"('that', 'I')",138
,
"('I', 'promptly')",1
,
"('promptly', 'burned')",1
,
"('burned', 'my')",2
,
"('my', 'tongue')",3
,
"('tongue', 'trying')",1
,
"('trying', 'to')",24
,
"('to', 'take')",23
,
"('take', 'another')",1
,
"('another', 'sip')",1
,
"('sip', '')",10
,
"('', '')",9435
,
"('', 'Admittedly')",1
,
"('Admittedly', 'I')",1
,
"('I', 've')",317
,
"('ve', 'been')",63
,
"('been', 'craving')",1
,
"('craving', 'a')",4
,
"('a', 'good')",109
,
"('good', 'mocha')",1
,
"('mocha', 'for')",2
,
"('for', 'a')",263
,
"('a', 'looooong')",1
,
"('looooong', 'time')",1
,
"('time', '')",100
,
"('', 'but')",644
,
"('but', 'this')",32
,
"('this', 'really')",2
,
"('really', 'was')",2
,
"('was', 'amazing')",16
,
"('amazing', '')",81
,
"('', '')",9435
,
"('', '')",9435
,
"('', 'There')",218
,
"('There', 's')",55
,
"('s', 'also')",17
,
"('also', 'an')",2
,
"('an', 'ample')",2
,
"('ample', 'amount')",2
,
"('amount', 'of')",46
,
"('of', 'seating')",66
,
"('seating', 'and')",24
,
"('and', 'lots')",12
,
"('lots', 'of')",73
,
"('of', 'outlets')",29
,
"('outlets', '')",43
,
"('', 'Even')",19
,
"('Even', 'on')",1
,
"('on', 'a')",115
,
"('a', 'Saturday')",9
,
"('Saturday', 'afternoon')",6
,
"('afternoon', 'there')",1
,
"('there', 'were')",21
,
"('were', 'plenty')",4
,
"('plenty', 'of')",105
,
"('of', 'seats')",14
,
"('seats', 'open')",1
,
"('open', 'with')",3
,
"('with', 'lots')",20
,
"('lots', 'of')",73
,
"('of', 'people')",31
,
"('people', 'studying')",3
,
"('studying', 'and')",8
,
"('and', 'people')",8
,
"('people', 'popping')",1
,
"('popping', 'in')",1
,
"('in', 'and')",30
,
"('and', 'out')",18
,
"('out', 'for')",21
,
"('for', 'chats')",1
,
"('chats', '')",1
,
"('', 'They')",485
,
"('They', 'also')",80
,
"('also', 'have')",55
,
"('have', 'a')",223
,
"('a', 'nice')",71
,
"('nice', 'selection')",5
,
"('selection', 'of')",50
,
"('of', 'small')",6
,
"('small', 'bites')",1
,
"('bites', 'for')",1
,
"('for', 'anyone')",2
,
"('anyone', 'who')",5
,
"('who', 's')",5
,
"('s', 'feeling')",1
,
"('feeling', 'hungry')",1
,
"('hungry', '')",6
,
"('', 'And')",109
,
"('And', 'also')",1
,
"('also', '')",12
,
"('', 'the')",361
,
"('the', 'parking')",16
,
"('parking', 'is')",19
,
"('is', 'a')",243
,
"('a', 'big')",35
,
"('big', 'plus')",3
,
"('plus', '')",10
,
"('', '')",9435
,
"('check', 'in')",423
,
"('in', 'Love')",6
,
"('Love', 'love')",4
,
"('love', 'love')",4
,
"('love', 'this')",44
,
"('this', 'place')",363
,
"('place', '')",261
,
"('', '')",9435
,
"('', 'Not')",82
,
"('Not', 'only')",6
,
"('only', 'is')",3
,
"('is', 'the')",137
,
"('the', 'coffee')",235
,
"('coffee', 'amazing')",1
,
"('amazing', 'but')",3
,
"('but', 'the')",98
,
"('the', 'customer')",7
,
"('customer', 'service')",23
,
"('service', 'interaction')",2
,
"('interaction', 'is')",1
,
"('is', 'awesome')",27
,
"('awesome', '')",56
,
"('', '')",9435
,
"('', 'We')",176
,
"('We', 'take')",1
,
"('take', 'our')",2
,
"('our', 'twin')",1
,
"('twin', 'baby')",1
,
"('baby', 'boys')",1
,
"('boys', 'in')",1
,
"('in', 'once')",1
,
"('once', 'a')",3
,
"('a', 'week')",15
,
"('week', 'for')",2
,
"('for', 'a')",263
,
"('a', 'half')",14
,
"('half', 'hour')",1
,
"('hour', 'or')",1
,
"('or', 'so')",10
,
"('so', 'and')",1
,
"('and', 'they')",135
,
"('they', 'always')",3
,
"('always', 'welcome')",1
,
"('welcome', 'us')",1
,
"('us', 'all')",3
,
"('all', '')",61
,
"('', '')",9435
,
"('', 'Pumped')",1
,
"('Pumped', 'about')",1
,
"('about', 'their')",18
,
"('their', 'cold')",7
,
"('cold', 'brew')",63
,
"('brew', 'on')",2
,
"('on', 'nitro')",2
,
"('nitro', '')",1
,
"('', 'every')",5
,
"('every', 'other')",3
,
"('other', 'cold')",1
,
"('cold', 'brew')",63
,
"('brew', 'I')",1
,
"('I', 've')",317
,
"('ve', 'had')",69
,
"('had', 'on')",4
,
"('on', 'nitro')",2
,
"('nitro', 'pales')",1
,
"('pales', 'in')",1
,
"('in', 'comparison')",1
,
"('comparison', '')",1
,
"('', 'as')",57
,
"('as', 'well')",127
,
"('well', 'as')",24
,
"('as', 'their')",2
,
"('their', 'affagatos')",1
,
"('affagatos', 'served')",1
,
"('served', 'with')",6
,
"('with', 'local')",3
,
"('local', 'Lick')",1
,
"('Lick', 'ice')",2
,
"('ice', 'cream')",74
,
"('cream', '')",50
,
"('', 'with')",72
,
"('with', 'two')",7
,
"('two', 'vegan')",1
,
"('vegan', 'flavors')",3
,
"('flavors', '')",39
,
"('', '')",9435
,
"('', 'So')",107
,
"('So', 'glad')",4
,
"('glad', 'summermoon')",1
,
"('summermoon', 'opened')",1
,
"('opened', 'in')",3
,
"('in', 'north')",7
,
"('north', 'Austin')",12
,
"('Austin', 'and')",18
,
"('and', 'we')",41
,
"('we', 'will')",9
,
"('will', 'be')",50
,
"('be', 'customers')",1
,
"('customers', 'for')",1
,
"('for', 'years')",5
,
"('years', 'to')",4
,
"('to', 'come')",50
,
"('come', '')",8
,
"('', '')",9435
,
"('Big', 'fan')",3
,
"('fan', 'of')",40
,
"('of', 'this')",32
,
"('this', 'place')",363
,
"('place', '')",261
,
"('', 'Both')",33
,
"('Both', 'the')",3
,
"('the', 'food')",36
,
"('food', 'and')",26
,
"('and', 'the')",378
,
"('the', 'coffee')",235
,
"('coffee', 'have')",1
,
"('have', 'been')",60
,
"('been', 'good')",2
,
"('good', 'every')",1
,
"('every', 'time')",30
,
"('time', 'I')",71
,
"('I', 've')",317
,
"('ve', 'been')",63
,
"('been', '')",11
,
"('', 'Last')",5
,
"('Last', 'time')",3
,
"('time', 'I')",71
,
"('I', 'was')",233
,
"('was', 'here')",5
,
"('here', '')",271
,
"('', 'I')",2231
,
"('I', 'ordered')",94
,
"('ordered', 'a')",51
,
"('a', 'basic')",3
,
"('basic', 'dark')",1
,
"('dark', 'roast')",5
,
"('roast', 'and')",3
,
"('and', 'it')",189
,
"('it', 'was')",296
,
"('was', 'very')",74
,
"('very', 'rich')",3
,
"('rich', 'in')",1
,
"('in', 'flavor')",5
,
"('flavor', '')",47
,
"('', 'I')",2231
,
"('I', 'love')",151
,
"('love', 'that')",18
,
"('that', 'they')",68
,
"('they', 'have')",107
,
"('have', 'a')",223
,
"('a', 'study')",6
,
"('study', 'area')",2
,
"('area', 'room')",1
,
"('room', 'off')",1
,
"('off', 'to')",8
,
"('to', 'the')",184
,
"('the', 'side')",13
,
"('side', '')",29
,
"('', 'I')",2231
,
"('I', 'm')",410
,
"('m', 'always')",8
,
"('always', 'able')",1
,
"('able', 'to')",45
,
"('to', 'be')",142
,
"('be', 'very')",6
,
"('very', 'productive')",1
,
"('productive', 'in')",1
,
"('in', 'there')",15
,
"('there', 'because')",4
,
"('because', 'it')",49
,
"('it', 'is')",111
,
"('is', 'nice')",21
,
