word,prob
"('coffee', 'have')",0.000715308
"('have', 'been')",0.109689214
"('every', 'time')",0.441176471
"('time', 'I')",0.333333333
"('Last', 'time')",0.136363636
"('I', 'was')",0.088829584
"('was', 'here')",0.005235602
"('I', 'ordered')",0.035836828
"('ordered', 'a')",0.5
"('a', 'basic')",0.001296456
"('dark', 'roast')",0.178571429
"('and', 'it')",0.065194895
"('it', 'was')",0.228395062
"('was', 'very')",0.077486911
"('I', 'love')",0.057567671
"('love', 'that')",0.082568807
"('that', 'they')",0.095371669
"('a', 'study')",0.002592913
"('study', 'area')",0.024390244
"('off', 'to')",0.117647059
"('to', 'the')",0.100546448
"('the', 'side')",0.003496503
"('m', 'always')",0.035874439
"('able', 'to')",1.956521739
"('be', 'very')",0.018348624
"('in', 'there')",0.011303693
"('there', 'because')",0.010695187
"('because', 'it')",0.362962963
"('it', 'is')",0.085648148
"('is', 'nice')",0.015695067
"('nice', 'and')",0.24789916
"('and', 'quiet')",0.002759572
"('They', 'have')",0.156578947
"('you', 're')",0.204768583
"('re', 'just')",0.035211268
"('coming', 'to')",0.095238095
"('to', 'read')",0.004371585
"('or', 'hang')",0.023529412
"('hang', 'out')",1.484848485
"('The', 'employees')",0.001075847
"('that', 'work')",0.007012623
"('work', 'here')",0.072727273
"('and', 'helpful')",0.008623663
"('They', 'are')",0.023684211
"('are', 'accommodating')",0.001988072
"('of', 'customer')",0.002965159
"('and', 'are')",0.003794412
"('knowledgeable', 'of')",0.111111111
"('the', 'menu')",0.009682625
"('The', 'only')",0.011027434
"('only', 'issue')",0.013986014
"('issue', 'I')",0.4
"('I', 'sometimes')",0.001906214
"('have', 'with')",0.005484461
"('is', 'that')",0.038863976
"('that', 'it')",0.067321178
"('it', 'can')",0.009259259
"('can', 'get')",0.158671587
"('get', 'really')",0.004132231
"('been', 'a')",0.132352941
"('a', 'couple')",0.022039758
"('couple', 'times')",0.0625
"('times', 'I')",0.216216216
"('had', 'to')",0.085872576
"('to', 'leave')",0.004918033
"('because', 'I')",0.377777778
"('I', 'couldn')",0.006862371
"('couldn', 't')",1.571428571
"('t', 'find')",0.025104603
"('find', 'a')",0.558823529
"('a', 'spot')",0.009507347
"('Other', 'than')",0.068493151
"('than', 'that')",0.094827586
"('love', 'coming')",0.02293578
"('coming', 'here')",0.523809524
"('check', 'ins')",0.549367089
"('ins', 'I')",0.25
"('m', 'a')",0.192825112
"('big', 'fan')",0.325581395
"('for', 'many')",0.002314815
"('It', 's')",0.222993827
"('s', 'in')",0.022047244
"('in', 'my')",0.051243406
"('my', 'neighborhood')",0.007763975
"('have', 'great')",0.02559415
"('great', 'coffee')",0.136645963
"('coffee', 'and')",0.144492132
"('specialty', 'drinks')",0.6
"('like', 'a')",0.206896552
"('mocha', 'and')",0.170454545
"('and', 'espresso')",0.002759572
"('I', 'like')",0.031261914
"('like', 'the')",0.169278997
"('the', 'breakfast')",0.001882733
"('breakfast', 'tacos')",0.835443038
"('tacos', 'and')",0.222222222
"('the', 'sandwiches')",0.000537924
"('The', 'people')",0.003227542
"('are', 'friendly')",0.033797217
"('There', 'is')",0.157754011
"('a', 'variety')",0.00821089
"('in', 'the')",0.325546345
"('the', 'back')",0.013179129
"('with', 'good')",0.018691589
"('light', 'in')",0.166666667
"('the', 'front')",0.006993007
"('for', 'laptops')",0.003472222
"('It', 'can')",0.00308642
"('at', 'times')",0.024822695
"('but', 'I')",0.307570978
"('ve', 'always')",0.033653846
"('found', 'a')",0.319148936
"('a', 'seat')",0.009075194
"('live', 'music')",0.285714286
"('music', 'and')",0.08045977
"('and', 'I')",0.099344602
"('I', 'will')",0.030118185
"('one', 'day')",0.021186441
"('five', 'stars')",0.75
"('if', 'there')",0.035087719
"('for', 'the')",0.185185185
"('the', 'amount')",0.001075847
"('people', 'who')",0.087591241
"('who', 'are')",0.103896104
"('are', 'always')",0.049701789
"('The', 'atmosphere')",0.009682625
"('atmosphere', 'is')",0.259259259
"('is', 'really')",0.035127055
"('really', 'nice')",0.076923077
"('coffee', 'shop')",0.234620887
"('shop', 'has')",0.066666667
"('has', 'a')",0.431654676
"('set', 'up')",1
"('up', 'to')",0.137755102
"('to', 'do')",0.026775956
"('do', 'work')",0.111111111
"('never', 'had')",0.240963855
"('had', 'their')",0.030470914
"('their', 'coffee')",0.163212435
"('the', 'pumpkin')",0.001344809
"('is', 'spectacular')",0.002242152
"('at', 'the')",0.407801418
"('the', 'top')",0.003227542
"('local', 'coffee')",0.272727273
"('coffee', 'shops')",0.078683834
"('shops', 'but')",0.045454545
"('but', 'they')",0.061514196
"('they', 'all')",0.003947368
"('closed', 'and')",0.166666667
"('the', 'other')",0.013986014
"('that', 'opened')",0.001402525
"('way', 'too')",0.211267606
"('we', 'were')",0.1003861
"('were', 'able')",0.021929825
"('to', 'find')",0.038251366
"('spot', 'right')",0.014705882
"('the', 'window')",0.001882733
"('window', 'and')",0.375
"('First', 'time')",0.13592233
"('time', 'coming')",0.009389671
"('here', 'I')",0.022959184
"('I', 'got')",0.030118185
"('got', 'the')",0.512820513
"('and', 'my')",0.012763022
"('my', 'boyfriend')",0.00931677
"('got', 'an')",0.034188034
"('an', 'iced')",0.169724771
"('iced', 'coffee')",0.607142857
"('coffee', 'with')",0.01788269
"('The', 'coffee')",0.03119957
"('coffee', 'was')",0.047925608
"('very', 'delicious')",0.003344482
"('delicious', 'and')",0.221590909
"('and', 'had')",0.00793377
"('had', 'the')",0.188365651
"('ve', 'never')",0.182692308
"('tea', 'that')",0.037037037
"('that', 'tasted')",0.001402525
"('as', 'good')",0.052325581
"('good', 'as')",0.056155508
"('they', 'don')",0.027631579
"('don', 't')",1.814516129
"('t', 'have')",0.09832636
"('have', 'it')",0.016453382
"('The', 'tea')",0.001882733
"('tea', 'and')",0.138888889
"('the', 'milk')",0.003496503
"('is', 'perfect')",0.017189836
"('is', 'on')",0.010463378
"('on', 'point')",0.052532833
"('I', 'definitely')",0.003431186
"('definitely', 'recommend')",0.051282051
"('recommend', 'getting')",0.014492754
"('It', 'does')",0.002314815
"('does', 'not')",0.3
"('not', 'have')",0.025581395
"('have', 'any')",0.014625229
"('any', 'caffeine')",0.014705882
"('in', 'it')",0.01582517
"('get', 'it')",0.070247934
"('it', 'in')",0.005401235
"('in', 'large')",0.00075358
"('because', 'you')",0.088888889
"('you', 'will')",0.019635344
"('not', 'having')",0.004651163
"('the', 'most')",0.008606778
"('you', 'can')",0.187938289
"('The', 'price')",0.000537924
"('price', 'range')",0.041666667
"('here', 'is')",0.073979592
"('is', 'actually')",0.002989537
"('very', 'reasonable')",0.016722408
"('also', 'sell')",0.033175355
"('and', 'other')",0.004484305
"('One', 'thing')",0.016949153
"('may', 'not')",0.2
"('not', 'like')",0.020930233
"('like', 'about')",0.009404389
"('about', 'this')",0.16509434
"('place', 'is')",0.283082077
"('is', 'how')",0.001494768
"('a', 'bunch')",0.004321521
"('bunch', 'of')",1.833333333
"('of', 'tables')",0.024462565
"('tables', 'for')",0.175
"('for', 'students')",0.00462963
"('and', 'others')",0.000689893
"('others', 'to')",0.2
"('come', 'and')",0.045801527
"('and', 'study')",0.002414626
"('is', 'always')",0.034379671
"('always', 'packed')",0.023622047
"('packed', 'and')",0.16
"('and', 'so')",0.004139358
"('so', 'you')",0.050709939
"('kind', 'of')",1.179104478
"('of', 'have')",0.00148258
"('have', 'to')",0.15904936
"('The', 'second')",0.000537924
"('second', 'time')",0.058823529
"('time', 'i')",0.009389671
"('came', 'here')",0.382352941
"('really', 'really')",0.038461538
"('really', 'good')",0.207692308
"('good', 'but')",0.032397408
"('was', 'just')",0.02513089
"('It', 'tasted')",0.002314815
"('just', 'like')",0.042253521
"('like', 'milk')",0.006269592
"('there', 'wasn')",0.013368984
"('wasn', 't')",2.052631579
"('t', 'enough')",0.006276151
"('or', 'too')",0.015686275
"('too', 'much')",0.145454545
"('much', 'milk')",0.052083333
"('service', 'is')",0.165354331
"('is', 'great')",0.049327354
"('great', 'here')",0.00621118
"('super', 'sweet')",0.135135135
"('not', 'to')",0.037209302
"('come', 'here')",0.618320611
"('here', 'to')",0.12244898
"('to', 'study')",0.03989071
"('ll', 'be')",0.366336634
"('be', 'a')",0.217125382
"('hard', 'to')",1.222222222
"('to', 'focus')",0.001092896
"('with', 'all')",0.012461059
"('all', 'the')",0.261818182
"('the', 'people')",0.006455083
"('you', 'and')",0.011220196
"('and', 'noise')",0.000344947
"('salted', 'caramel')",0.6
"('caramel', 'latte')",0.342105263
"('taste', 'like')",0.134328358
"('I', 'enjoy')",0.001906214
"('to', 'this')",0.018032787
"('this', 'coffee')",0.042635659
"('I', 'never')",0.006862371
"('order', 'any')",0.011494253
"('any', 'food')",0.029411765
"('so', 'I')",0.257606491
"('I', 'couldnt')",0.000381243
"('tell', 'you')",0.5
"('you', 'how')",0.002805049
"('food', 'is')",0.070866142
"('is', 'but')",0.002989537
"('I', 'always')",0.009149828
"('always', 'order')",0.023622047
"('order', 'a')",0.103448276
"('a', 'black')",0.002592913
"('and', 'its')",0.003794412
"('Plenty', 'of')",0.35
"('and', 'tables')",0.003794412
"('tables', 'to')",0.1375
"('do', 'your')",0.015873016
"('your', 'work')",0.030120482
"('and', 'their')",0.00896861
"('more', 'of')",0.14619883
"('of', 'a')",0.060785767
"('a', 'relaxing')",0.004321521
"('relaxing', 'atmosphere')",0.227272727
"('is', 'free')",0.002242152
"('free', 'WiFi')",0.106382979
"('place', 'up')",0.005025126
"('just', 'another')",0.007042254
"('another', 'coffee')",0.093023256
"('coffee', 'bar')",0.012160229
"('Then', 'my')",0.020833333
"('my', 'friend')",0.043478261
"('I', 'drove')",0.000762486
"('drove', 'up')",0.5
"('to', 'see')",0.020218579
"('see', 'her')",0.021978022
"('I', 'thought')",0.011818528
"('thought', 'I')",0.25
"('I', 'll')",0.036599314
"('ll', 'get')",0.03960396
"('get', 'coffee')",0.041322314
"('and', 'listen')",0.000689893
"('listen', 'to')",1.25
"('to', 'her')",0.002185792
"('and', 'that')",0.010003449
"('that', 'will')",0.005610098
"('be', 'that')",0.01529052
"('is', 'so')",0.035127055
"('so', 'much')",0.050709939
"('much', 'more')",0.104166667
"('than', 'coffee')",0.017241379
"('is', 'all')",0.006726457
"('By', 'the')",0.034285714
"('the', 'time')",0.01183432
"('got', 'up')",0.017094017
"('up', 'there')",0.010204082
"('there', 'I')",0.00802139
"('I', 'had')",0.071292413
"('had', 'not')",0.002770083
"('along', 'with')",0.928571429
"('with', 'an')",0.040498442
"('an', 'incredibly')",0.009174312
"('It', 'was')",0.089506173
"('was', 'not')",0.041884817
"('not', 'one')",0.011627907
"('one', 'of')",0.487288136
"('of', 'those')",0.011119348
"('in', 'at')",0.00075358
"('at', 'some')",0.007092199
"('where', 'there')",0.018867925
"('there', 'is')",0.144385027
"('is', 'only')",0.001494768
"('only', 'flavor')",0.006993007
"('flavor', 'of')",0.076923077
"('quiche', 'and')",0.333333333
"('and', 'there')",0.01690238
"('only', 'one')",0.034965035
"('from', 'that')",0.006666667
"('that', 'morning')",0.002805049
"('They', 'had')",0.010526316
"('options', 'for')",0.163636364
"('t', 'believe')",0.012552301
"('believe', 'it')",0.266666667
"('me', 'it')",0.014814815
"('was', 'like')",0.013612565
"('a', 'coffee')",0.05099395
"('up', 'and')",0.117346939
"('and', 'said')",0.002069679
"('won', 't')",1.565217391
"('They', 'need')",0.002631579
"('we', 'do')",0.003861004
"('the', 'size')",0.001882733
"('size', 'of')",0.1
"('of', 'our')",0.009636768
"('hand', 'that')",0.05
"('that', 'does')",0.008415147
"('us', 'up')",0.019230769
"('gives', 'you')",0.5
"('Once', 'I')",0.041666667
"('got', 'my')",0.042735043
"('my', 'food')",0.00310559
"('food', 'I')",0.007874016
"('is', 'plenty')",0.011210762
"('of', 'space')",0.005930319
"('space', 'to')",0.175675676
"('to', 'sit')",0.040437158
"('sit', 'and')",0.38
"('or', 'study')",0.011764706
"('There', 'was')",0.053475936
"('was', 'quite')",0.014659686
"('quite', 'a')",0.347826087
"('a', 'large')",0.007346586
"('large', 'group')",0.1
"('group', 'of')",0.3
"('of', 'us')",0.009636768
"('there', 'to')",0.029411765
"('to', 'watch')",0.003278689
"('we', 'all')",0.011583012
"('had', 'a')",0.310249307
"('a', 'great')",0.076490925
"('great', 'time')",0.00621118
"('In', 'fact')",0.004521477
"('a', 'few')",0.040622299
"('few', 'of')",0.117647059
"('over', 'an')",0.010869565
"('an', 'hour')",0.004587156
"('hour', 'after')",0.083333333
"('after', 'they')",0.118421053
"('they', 'were')",0.067105263
"('were', 'done')",0.00877193
"('because', 'we')",0.037037037
"('we', 'enjoyed')",0.011583012
"('the', 'atmosphere')",0.013717052
"('atmosphere', 'and')",0.111111111
"('and', 'drinks')",0.004829251
"('enough', 'to')",0.622641509
"('to', 'stay')",0.007103825
"('I', 'may')",0.002287457
"('next', 'time')",0.586206897
"('Live', 'music')",0.047619048
"('I', 'would')",0.048417842
"('would', 'have')",0.238709677
"('to', 'say')",0.015300546
"('say', 'my')",0.016393443
"('my', 'favorite')",0.135093168
"('the', 'iced')",0.007530931
"('coffee', 'is')",0.10944206
"('It', 'is')",0.040123457
